#{"t_start": 1762226713.291023, "env_id": "None"}
r,l,t
747.929013,1086,10141.421381
727.217879,1272,10158.322452
746.800416,1097,10161.590368
748.742197,1078,10164.669374
745.34651,1111,10168.688211
744.717387,1117,10185.41817
747.622401,1089,10188.614417
747.212206,1093,10191.761537
746.697203,1098,10209.349486
749.347916,1072,10212.875456
746.387023,1101,10216.160593
748.030994,1085,10219.195753
746.593887,1099,10236.911518
744.822501,1116,10240.292979
724.135519,1256,10244.022921
745.346504,1111,10247.264389
745.032397,1114,10263.561693
743.341992,1130,10267.936515
747.314888,1092,10271.082106
743.448408,1129,10287.286209
747.109394,1094,10290.738578
747.006483,1095,10293.905385
746.800414,1097,10296.990464
745.659718,1108,10314.012628
744.612205,1118,10317.399124
748.030998,1085,10320.496004
749.548983,1070,10323.49767
745.867987,1106,10340.568426
744.50692,1119,10343.931205
747.109394,1094,10347.04119
747.212206,1093,10350.070476
